genes,label,Category_cl
A1BG,0,Protein Coding
A1BG-AS1,0,lncRNA
A1CF,1,Protein Coding
A2M,1,Protein Coding
A2M-AS1,0,lncRNA
A2ML1,0,Protein Coding
A2ML1-AS1,0,lncRNA
A2MP1,0,Pseudogene
A4GALT,1,Protein Coding
A4GNT,1,Protein Coding
AAAS,1,Protein Coding
AACS,1,Protein Coding
AADAC,1,Protein Coding
AADACL2,0,Protein Coding
AADACL3,0,Protein Coding
AADACL4,0,Protein Coding
AADAT,0,Protein Coding
AAGAB,0,Protein Coding
AAK1,1,Protein Coding
AAMDC,1,Protein Coding
AAMP,0,Protein Coding
AANAT,1,Protein Coding
AAR2,1,Protein Coding
AARD,0,Protein Coding
AARS1,0,Protein Coding
AARS2,1,Protein Coding
AARSD1,0,Protein Coding
AASDH,1,Protein Coding
AASDHPPT,0,Protein Coding
AASS,1,Protein Coding
AATBC,0,lncRNA
AATF,1,TF
AATK,1,Protein Coding
ABALON,1,lncRNA
ABAT,0,Protein Coding
ABCA1,1,Protein Coding
ABCA10,1,Protein Coding
ABCA11P,0,Pseudogene
ABCA12,1,Protein Coding
ABCA13,0,Protein Coding
ABCA17P,0,Pseudogene
ABCA2,0,TF
ABCA3,1,Protein Coding
ABCA4,1,Protein Coding
ABCA5,1,Protein Coding
ABCA6,1,Protein Coding
ABCA7,1,Protein Coding
ABCA8,1,Protein Coding
ABCA9,1,Protein Coding
ABCA9-AS1,0,lncRNA
ABCB1,1,Protein Coding
ABCB10,1,Protein Coding
ABCB10P4,0,Pseudogene
ABCB11,1,Protein Coding
ABCB4,1,Protein Coding
ABCB5,1,Protein Coding
ABCB6,1,Protein Coding
ABCB7,0,Protein Coding
ABCB8,1,Protein Coding
ABCB9,1,Protein Coding
ABCC1,1,Protein Coding
ABCC10,1,Protein Coding
ABCC11,1,Protein Coding
ABCC12,0,Protein Coding
ABCC13,0,Pseudogene
ABCC2,1,Protein Coding
ABCC3,1,Protein Coding
ABCC4,1,Protein Coding
ABCC5,1,Protein Coding
ABCC6,0,Protein Coding
ABCC8,1,Protein Coding
ABCC9,1,Protein Coding
ABCD1,1,Protein Coding
ABCD1P2,0,Pseudogene
ABCD2,1,Protein Coding
ABCD3,1,Protein Coding
ABCD4,0,Protein Coding
ABCE1,1,Protein Coding
ABCF1,0,Protein Coding
ABCF2,0,Protein Coding
ABCF2P1,0,Pseudogene
ABCF3,0,Protein Coding
ABCG1,1,TF
ABCG2,1,Protein Coding
ABCG4,0,Protein Coding
ABCG5,0,Protein Coding
ABCG8,0,Protein Coding
ABHD1,1,Protein Coding
ABHD10,0,Protein Coding
ABHD11,0,Protein Coding
ABHD11-AS1,0,lncRNA
ABHD12,1,Protein Coding
ABHD12B,1,Protein Coding
ABHD13,0,Protein Coding
ABHD14A,1,Protein Coding
ABHD14A-ACY1,0,other
ABHD14B,1,Protein Coding
ABHD15,1,Protein Coding
ABHD16A,0,Protein Coding
ABHD17A,0,Protein Coding
ABHD17B,1,Protein Coding
ABHD17C,1,Protein Coding
ABHD18,0,Protein Coding
ABHD2,0,Protein Coding
ABHD3,1,Protein Coding
ABHD4,1,Protein Coding
ABHD5,1,Protein Coding
ABHD6,1,Protein Coding
ABHD8,1,Protein Coding
ABI1,1,Protein Coding
ABI2,1,Protein Coding
ABI3,1,Protein Coding
ABI3BP,1,Protein Coding
ABITRAM,0,Protein Coding
ABL1,1,TF
ABL2,1,Protein Coding
ABLIM1,1,Protein Coding
ABLIM2,1,Protein Coding
ABLIM3,1,Protein Coding
ABO,1,Protein Coding
ABR,1,Protein Coding
ABRA,0,TF
ABRACL,0,Protein Coding
ABRAXAS1,0,Protein Coding
ABRAXAS2,0,Protein Coding
ABT1,0,TF
ABTB1,1,TF
ABTB2,1,Protein Coding
ACAA1,1,Protein Coding
ACAA2,0,Protein Coding
ACACA,1,Protein Coding
ACACB,1,Protein Coding
ACAD10,0,Protein Coding
ACAD11,1,Protein Coding
ACAD8,1,TF
ACAD9,0,Protein Coding
ACADL,1,Protein Coding
ACADM,0,Protein Coding
ACADS,1,Protein Coding
ACADSB,1,Protein Coding
ACADVL,0,Protein Coding
ACAN,1,Protein Coding
ACAP1,1,Protein Coding
ACAP2,1,Protein Coding
ACAP2-IT1,0,lncRNA
ACAP3,0,Protein Coding
ACAT1,1,Protein Coding
ACAT2,1,Protein Coding
ACBD3,0,Protein Coding
ACBD3-AS1,0,lncRNA
ACBD4,0,Protein Coding
ACBD5,0,Protein Coding
ACBD6,1,Protein Coding
ACBD7,0,Protein Coding
ACCS,1,Protein Coding
ACCSL,0,Protein Coding
ACD,0,Protein Coding
ACE,1,Protein Coding
ACE2,1,Protein Coding
ACER1,0,Protein Coding
ACER2,0,Protein Coding
ACER3,1,Protein Coding
ACHE,1,Protein Coding
ACIN1,1,Protein Coding
ACKR1,1,Protein Coding
ACKR2,1,Protein Coding
ACKR3,1,Protein Coding
ACKR4,1,Protein Coding
ACLY,1,Protein Coding
ACMSD,1,Protein Coding
ACO1,1,Protein Coding
ACO2,0,Protein Coding
ACOD1,1,Protein Coding
ACOT1,1,Protein Coding
ACOT11,1,Protein Coding
ACOT12,0,Protein Coding
ACOT13,0,Protein Coding
ACOT2,1,Protein Coding
ACOT4,1,Protein Coding
ACOT6,0,Protein Coding
ACOT7,1,Protein Coding
ACOT8,0,Protein Coding
ACOT9,0,Protein Coding
ACOX1,0,Protein Coding
ACOX2,1,Protein Coding
ACOX3,1,Protein Coding
ACOXL,0,Protein Coding
ACP1,1,Protein Coding
ACP2,1,Protein Coding
ACP3,0,Protein Coding
ACP4,0,Protein Coding
ACP5,1,Protein Coding
ACP6,1,Protein Coding
ACP7,0,Protein Coding
ACR,0,Protein Coding
ACRBP,1,Protein Coding
ACRV1,0,Protein Coding
ACSBG1,1,Protein Coding
ACSBG2,0,Protein Coding
ACSF2,1,Protein Coding
ACSF3,0,Protein Coding
ACSL1,1,Protein Coding
ACSL3,1,Protein Coding
ACSL4,1,Protein Coding
ACSL5,1,Protein Coding
ACSL6,1,Protein Coding
ACSM1,1,Protein Coding
ACSM2A,0,Protein Coding
ACSM2B,0,Protein Coding
ACSM3,1,Protein Coding
ACSM4,1,Protein Coding
ACSM5,1,Protein Coding
ACSM6,0,Protein Coding
ACSS1,1,Protein Coding
ACSS2,0,Protein Coding
ACSS3,1,Protein Coding
ACTA1,1,Protein Coding
ACTA2,1,Protein Coding
ACTA2-AS1,1,lncRNA
ACTB,1,Protein Coding
ACTBL2,1,Protein Coding
ACTBP11,0,Pseudogene
ACTBP14,0,Pseudogene
ACTBP2,0,Pseudogene
ACTBP6,0,Pseudogene
ACTBP7,0,Pseudogene
ACTBP9,0,Pseudogene
ACTC1,1,Protein Coding
ACTG1,0,Protein Coding
ACTG1P12,0,Pseudogene
ACTG1P14,0,Pseudogene
ACTG1P15,0,Pseudogene
ACTG1P16,0,Pseudogene
ACTG1P17,0,Pseudogene
ACTG1P19,0,Pseudogene
ACTG1P2,0,Pseudogene
ACTG1P20,0,Pseudogene
ACTG1P21,0,Pseudogene
ACTG1P23,0,Pseudogene
ACTG1P25,0,Pseudogene
ACTG1P9,0,Pseudogene
ACTG2,1,Protein Coding
ACTL10,1,Protein Coding
ACTL6A,1,TF
ACTL6B,1,Protein Coding
ACTL7A,0,Protein Coding
ACTL7B,0,Protein Coding
ACTL8,0,Protein Coding
ACTL9,0,Protein Coding
ACTN1,1,Protein Coding
ACTN2,1,Protein Coding
ACTN3,0,Protein Coding
ACTN4,1,Protein Coding
ACTN4P1,0,Pseudogene
ACTN4P2,0,Pseudogene
ACTR10,1,Protein Coding
ACTR1A,0,Protein Coding
ACTR1B,1,Protein Coding
ACTR2,1,Protein Coding
ACTR3,1,Protein Coding
ACTR3B,1,Protein Coding
ACTR3C,1,Protein Coding
ACTR3P2,0,Pseudogene
ACTR5,1,TF
ACTR6,1,Protein Coding
ACTR8,0,Protein Coding
ACTRT2,0,Protein Coding
ACTRT3,0,Protein Coding
ACVR1,1,TF
ACVR1B,0,TF
ACVR1C,1,Protein Coding
ACVR2A,1,Protein Coding
ACVR2B,1,TF
ACVR2B-AS1,1,lncRNA
ACVRL1,1,TF
ACY1,1,Protein Coding
ACY3,1,Protein Coding
ACYP1,0,Protein Coding
ACYP2,1,Protein Coding
ADA,1,Protein Coding
ADA2,1,Protein Coding
ADAD1,0,Protein Coding
ADAD2,0,Protein Coding
ADAL,0,Protein Coding
ADAM10,0,Protein Coding
ADAM11,0,Protein Coding
ADAM12,1,Protein Coding
ADAM15,1,Protein Coding
ADAM17,1,Protein Coding
ADAM18,0,Protein Coding
ADAM19,1,Protein Coding
ADAM1B,0,Pseudogene
ADAM2,0,Protein Coding
ADAM20,0,Protein Coding
ADAM20P1,0,Pseudogene
ADAM20P2,0,Pseudogene
ADAM21,0,Protein Coding
ADAM21P1,0,Pseudogene
ADAM22,1,Protein Coding
ADAM23,0,Protein Coding
ADAM28,1,Protein Coding
ADAM29,0,Protein Coding
ADAM30,0,Protein Coding
ADAM32,0,Protein Coding
ADAM33,1,Protein Coding
ADAM5,0,Pseudogene
ADAM6,0,Pseudogene
ADAM7,0,Protein Coding
ADAM8,1,Protein Coding
ADAM9,1,Protein Coding
ADAMDEC1,1,Protein Coding
ADAMTS1,1,Protein Coding
ADAMTS10,0,Protein Coding
ADAMTS12,1,Protein Coding
ADAMTS13,0,Protein Coding
ADAMTS14,1,Protein Coding
ADAMTS15,0,Protein Coding
ADAMTS16,1,Protein Coding
ADAMTS17,1,TF
ADAMTS18,0,Protein Coding
ADAMTS19,0,TF
ADAMTS2,1,Protein Coding
ADAMTS20,0,Protein Coding
ADAMTS3,0,Protein Coding
ADAMTS4,0,Protein Coding
ADAMTS5,1,Protein Coding
ADAMTS6,1,Protein Coding
ADAMTS7,1,Protein Coding
ADAMTS7P1,0,Pseudogene
ADAMTS7P3,0,Pseudogene
ADAMTS8,1,Protein Coding
ADAMTS9,1,Protein Coding
ADAMTS9-AS1,1,lncRNA
ADAMTS9-AS2,1,lncRNA
ADAMTSL1,1,Protein Coding
ADAMTSL2,0,Protein Coding
ADAMTSL3,1,Protein Coding
ADAMTSL4,1,Protein Coding
ADAMTSL5,1,Protein Coding
ADAP1,1,Protein Coding
ADAP2,1,Protein Coding
ADAR,1,TF
ADARB1,1,Protein Coding
ADARB2,1,Protein Coding
ADARB2-AS1,0,lncRNA
ADAT1,1,Protein Coding
ADAT2,1,Protein Coding
ADAT3,0,Protein Coding
ADCK1,0,Protein Coding
ADCK2,1,Protein Coding
ADCK5,0,Protein Coding
ADCY1,1,Protein Coding
ADCY10,1,Protein Coding
ADCY10P1,0,Pseudogene
ADCY2,0,Protein Coding
ADCY3,1,Protein Coding
ADCY4,1,Protein Coding
ADCY5,1,Protein Coding
ADCY6,1,Protein Coding
ADCY7,1,Protein Coding
ADCY8,1,Protein Coding
ADCY9,1,Protein Coding
ADCYAP1,1,Protein Coding
ADCYAP1R1,0,Protein Coding
ADD1,0,Protein Coding
ADD2,1,Protein Coding
ADD3,1,Protein Coding
ADD3-AS1,0,lncRNA
ADGB,1,Protein Coding
ADGRA1,0,Protein Coding
ADGRA1-AS1,0,lncRNA
ADGRA2,1,Protein Coding
ADGRA3,1,Protein Coding
ADGRB1,0,Protein Coding
ADGRB2,0,Protein Coding
ADGRB3,1,Protein Coding
ADGRD1,1,Protein Coding
ADGRD2,1,Protein Coding
ADGRE1,1,Protein Coding
ADGRE2,1,Protein Coding
ADGRE3,1,Protein Coding
ADGRE4P,0,Pseudogene
ADGRE5,1,Protein Coding
ADGRF1,1,Protein Coding
ADGRF2,1,Protein Coding
ADGRF3,0,Protein Coding
ADGRF4,1,Protein Coding
ADGRF5,1,Protein Coding
ADGRG1,1,Protein Coding
ADGRG2,1,Protein Coding
ADGRG3,1,Protein Coding
ADGRG4,1,Protein Coding
ADGRG5,1,Protein Coding
ADGRG6,1,Protein Coding
ADGRG7,1,Protein Coding
ADGRL1,1,Protein Coding
ADGRL2,1,Protein Coding
ADGRL3,1,Protein Coding
ADGRL4,0,Protein Coding
ADGRV1,1,Protein Coding
ADH1A,1,Protein Coding
ADH1B,1,Protein Coding
ADH1C,1,Protein Coding
ADH4,1,Protein Coding
ADH5,1,Protein Coding
ADH5P4,0,Pseudogene
ADH6,0,Protein Coding
ADH7,0,Protein Coding
ADHFE1,0,Protein Coding
ADI1,0,Protein Coding
ADIG,0,Protein Coding
ADIPOQ,1,Protein Coding
ADIPOQ-AS1,0,lncRNA
ADIPOR1,1,Protein Coding
ADIPOR1P1,0,Pseudogene
ADIPOR1P2,0,Pseudogene
ADIPOR2,1,Protein Coding
ADIRF-AS1,0,lncRNA
ADK,0,Protein Coding
ADM,1,Protein Coding
ADM2,1,Protein Coding
ADM5,0,Protein Coding
ADNP,0,TF
ADNP2,1,TF
ADO,1,Protein Coding
ADORA1,0,Protein Coding
ADORA2A,1,TF
ADORA2A-AS1,1,lncRNA
ADORA2B,1,Protein Coding
ADORA3,1,Protein Coding
ADPGK,1,TF
ADPGK-AS1,1,lncRNA
ADPRH,1,Protein Coding
ADPRHL1,1,Protein Coding
ADPRM,1,Protein Coding
ADPRS,0,Protein Coding
ADRA1A,1,Protein Coding
ADRA1B,0,Protein Coding
ADRA1D,1,Protein Coding
ADRA2A,1,Protein Coding
ADRA2B,0,Protein Coding
ADRA2C,0,Protein Coding
ADRB1,1,Protein Coding
ADRB2,1,TF
ADRB3,1,Protein Coding
ADRM1,1,Protein Coding
ADSL,1,Protein Coding
ADSS1,0,Protein Coding
ADSS2,0,Protein Coding
ADTRP,1,Protein Coding
AEBP1,1,TF
AEBP2,0,TF
AEN,1,Protein Coding
AFAP1,1,Protein Coding
AFAP1-AS1,1,lncRNA
AFAP1L1,1,Protein Coding
AFAP1L2,1,TF
AFDN,1,Protein Coding
AFDN-DT,0,lncRNA
AFF1,0,TF
AFF2,1,TF
AFF3,1,TF
AFF4,0,TF
AFG1L,1,Protein Coding
AFG3L1P,0,Pseudogene
AFG3L2,1,Protein Coding
AFG3L2P1,0,Pseudogene
AFM,0,Protein Coding
AFMID,0,Protein Coding
AFP,1,Protein Coding
AFTPH,1,Protein Coding
AGA,1,Protein Coding
AGAP1,1,Protein Coding
AGAP10P,0,Pseudogene
AGAP11,0,other
AGAP14P,0,Pseudogene
AGAP1-IT1,0,lncRNA
AGAP2,1,Protein Coding
AGAP2-AS1,1,lncRNA
AGAP3,1,Protein Coding
AGAP4,1,Protein Coding
AGAP5,0,Protein Coding
AGAP6,1,Protein Coding
AGAP7P,0,Pseudogene
AGAP9,0,Protein Coding
AGBL1,0,Protein Coding
AGBL1-AS1,0,lncRNA
