Cancer,Age,Gender,M,N,OStime,Stage,Status,Treatment,TumorvsNormal,T
BRCA,0.06151937757254125,0.2317458003682284,0.1789420329498663,0.09855146851842692,0.08803028637851175,0.046435690646008415,0.03501849609070511,0.01249511165421289,0.15495162959009393,0.09231009987134771
CESC,0.14984175906211838,0.0,0.05186738404513933,0.05742162903249151,0.05685222698483751,0.0,0.15273179565354475,0.05385942068202843,0.4011219085499597,0.07630387080203353
CHOL,0.07830485150063299,0.07936697451166141,0.11027951006945859,0.062027088404329286,0.03481601978119659,0.07263701141461736,0.06767394977189937,0.06475259938480782,0.2701945484442308,0.15994744373007116
DLBC,0.09515637602100144,0.28966749479949644,0.0,0.0,0.33517532159000135,0.0,0.19620051810505487,0.08380028293957041,0.0,0.0
ESCA,0.359819315095584,0.04712170562342226,0.12699122609431546,0.07722042151778148,0.07095672737379201,0.06488339857685947,0.14222826222139753,0.06516996645526887,0.0,0.04560897168909426
HNSC,0.04159872173721254,0.18811414177983754,0.0,0.06757809206167492,0.19675470223414498,0.0955784386536568,0.06720976311090168,0.021589554450394715,0.2773103348701885,0.0442662447418475
LAML,0.4185268525606419,0.05405967749100646,0.0,0.0,0.26486318533748654,0.0,0.136698801604527,0.12585147417472803,0.0,0.0
LIHC,0.10852717379325325,0.12591097955053684,0.22457951440382826,0.14824016468520032,0.03257033518805179,0.030650782861800976,0.099677633088689,0.016437179048621374,0.15879012752056507,0.0546161051062755
LUAD,0.045281755357628704,0.048915618545870995,0.17271235860264936,0.10763078042731355,0.06441773369717717,0.06256873078059459,0.0743432994557816,0.06293137324213673,0.20819905723962395,0.15299928603407345
OV,0.09085148559669251,0.0,0.0,0.0,0.3221267165855998,0.0,0.1790579251185321,0.4079638507049011,0.0,0.0
PAAD,0.04021361372053825,0.030891954354275268,0.07374655859558314,0.14489450052240752,0.07084202364865796,0.04685515931827802,0.07911709634795841,0.07803367669300529,0.1322387246942385,0.3031666861729793
PRAD,0.02766562011223234,0.0,0.0,0.061197069326208664,0.049307180858377535,0.0,0.34591804139251675,0.05863575033226037,0.21366404575279072,0.24361228610314692
STAD,0.0428276403951256,0.1131686117141807,0.08286998720270776,0.06485513456172062,0.022239177423513452,0.14771323976163,0.06347711076256281,0.0998962729486217,0.25379964272440647,0.10915317673758378
THCA,0.055823032774391865,0.08148200813350065,0.09964336529374886,0.07379408044293606,0.04453386943502493,0.14720725580344438,0.10424505345226079,0.04165763552406762,0.2929486832791684,0.058665009307931504
UVM,0.08876211192317603,0.11794479007382888,0.14927914343108642,0.0,0.07417842973399794,0.11050293815218698,0.21905192715381724,0.14035916170923443,0.0,0.0999214923129631
